product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Basque by Bluebella,BLACK,Lingerie,90,"32B,32C,32D,34B,34C,34D,36A,36B,36C,36D","32B,32C,32D,34B,34C,34D,36B,36D",US TOPSHOP,Topshop US,"Black basque by Bluebella. 85% Polyester,15% Elastane. Machine wash.",Basque by Bluebella,NULL,NULL,26-04-20 19:42
Yasallie Mini Knickers by Yas,BLACK,Lingerie,22,"XS,S,M,L,XL","S,M,XL",US TOPSHOP,Topshop US,"Black mini knickers by Yas. 90% Polyamide, 10% Elastane. Machine wash.",Yasallie Mini Knickers by Yas,NULL,NULL,26-04-20 19:42
Laura Body by Bluebella,Pink,Lingerie,60,"32B,32C,32D,34B,34C,34D,36B,36C","32B,32C,32D,34B,34C",US TOPSHOP,Topshop US,"Rosa Body von Bluebella. 90 % Polyamid, 10 % Elastan. MaschinenwÃ¤sche.",Laura Body by Bluebella,NULL,NULL,26-04-20 19:42
Sporty Bra,PALE BLUE,Lingerie,15,"S,M,L","M,L",US TOPSHOP,Topshop US,"Pale blue sporty bra. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash.",Sporty Bra,NULL,NULL,26-04-20 19:42
Geo Lace Floral Bra,Fuschia,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,36A,36B,36C","32A,32B,32C,32D,34A,34B,34C,36B,36C",US TOPSHOP,Topshop US,"Add a pop of colour to your lingerie collection in this vibrant fuschia non-padded bra with underwired cups for a barely-there feel with discreet support. 85% Nylon, 15% Elastane. Machine wash.",Geo Lace Floral Bra,NULL,NULL,26-04-20 19:42
Bra by Bluebella,BLACK,Lingerie,58,"XS,S,M,L","XS,S,M",US TOPSHOP,Topshop US,"Black bra by Bluebella. 85% Polyester, 15% Elastane. Machine wash.",Bra by Bluebella,NULL,NULL,26-04-20 19:42
Soft Triangle Bra by Bluebella,BLACK,Lingerie,50,"S,M,L,XL","S,M,L,XL",US TOPSHOP,Topshop US,"Black soft triangle bra by Bluebella with gold metal detail. 90% Polyamide, 10% Elastane. Machine wash.",Soft Triangle Bra by Bluebella,NULL,NULL,26-04-20 19:42
Satin and Lace Plunge Bra,ICE BLUE,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","34A,34B,34C,36A,36C",US TOPSHOP,Topshop US,"Opt for a pretty touch to your lingerie basics in this lightly padded bra with a plunging neckline and underwired cups for added support. 89% Polyamide, 11% Elastane. Machine wash.",Satin and Lace Plunge Bra,NULL,NULL,26-04-20 19:42
Yasallie Bra by Yas,ROSE,Lingerie,28,"XS,S,M,L,XL","L,XL",US TOPSHOP,Topshop US,"RosÃ©farbener BH von Yas. 90 % Polyamid, 10 % Elastan. MaschinenwÃ¤sche.",Yasallie Bra by Yas,NULL,NULL,26-04-20 19:42
Mesh Bralet by Somedays Lovin',BLACK,Lingerie,58,"XS,S,M,L",M,US TOPSHOP,Topshop US,"Burnout mesh bralet with floral detail. Matches with knickers. 92% Polyester, 8% Elastane. Machine wash.",Mesh Bralet by Somedays Lovin',NULL,NULL,26-04-20 19:42
Floral Balcony Bra,Pale Pink,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","34C,36B,36C",US TOPSHOP,Topshop US,"Delicate floral lace is the focus of this balcony bra. With underwired cups for a smooth shape and added support. 90% Polyamide, 10% Elastane. Machine wash.",Floral Balcony Bra,NULL,NULL,26-04-20 19:42
Padded Bralet,KHAKI,Lingerie,45,"32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,32DD,34DD","32C,32D,34A,34D,36A",US TOPSHOP,Topshop US,"Khaki satin bralet with underwire and padding 89% Polyamide,11% Elastane. Machine washable.",Padded Bralet,NULL,NULL,26-04-20 19:42
Bra by Somedays Lovin',BLACK,Lingerie,60,"L,M,S,XS","M,S,XS",US TOPSHOP,Topshop US,Black bra by Somedays Lovin'. 100% Nylon. Machine wash.,Bra by Somedays Lovin',NULL,NULL,26-04-20 19:42
Sporty Thong,Bright Pink,Lingerie,10,"S,M,L","S,M,L",US TOPSHOP,Topshop US,"Bright pink sporty thong. 85% Polyamide, 14% Elastane, 1% Polyester. Machine wash.",Sporty Thong,NULL,NULL,26-04-20 19:42
Blue Bra by Somedays Lovin',Blue,Lingerie,75,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,Blue bra by Somedays Lovin'. 100% Rayon. Machine wash.,Blue Bra by Somedays Lovin',NULL,NULL,26-04-20 19:42
Suspenders by BlueBella,Pink,Lingerie,30,"4,6,8,10","4,6,8,10",US TOPSHOP,Topshop US,"Pink suspenders by BlueBella. 89% Polyamide, 11% Elastane. Machine wash.",Suspenders by BlueBella,NULL,NULL,26-04-20 19:42
Embroidered Triangle Bra,MULTI,Lingerie,40,"2,4,6,8,10,12,14","2,4,6,8,10,12",US TOPSHOP,Topshop US,"Nude mesh triangle bra with floral embroidery detail and cross-over detail back. 89% Polyamide, 11% Elastane. Machine wash.",Embroidered Triangle Bra,NULL,NULL,26-04-20 19:42
Knickers by Somedays Lovin',WHITE,Lingerie,35,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,"White knickers by Somedays Lovin'. 85% Polyester, 15% Elastane. Machine wash.",Knickers by Somedays Lovin',NULL,NULL,26-04-20 19:42
Underwired Lace Bra,IVORY,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,36A,36B,36C","32A,32B,32C,32D,34A,34B,34C,36B",US TOPSHOP,Topshop US,"Itâ€™s all about delicate detail with this floral lace bra. With underwired for support, it provides a barley there feel without pads. 89% Nylon, 15% Elastane. Machine wash.",Underwired Lace Bra,NULL,NULL,26-04-20 19:42
Broderie Lace Underwired Bra,natural,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,32D,34A,34B,34C,34D,36A,36C",US TOPSHOP,Topshop US,"Non-padded bra with underwired cups for a barely-there feel with discreet support. 90% Polyamide,10% Elastane. Machine wash.",Broderie Lace Underwired Bra,NULL,NULL,26-04-20 19:42
Laura Suspenders by Bluebella,BLACK,Lingerie,30,"4,6,8,10","4,6,8,10",US TOPSHOP,Topshop US,"Black suspenders by Bluebella. 89% Polyamide, 11% Elastane. Machine wash.",Laura Suspenders by Bluebella,NULL,NULL,26-04-20 19:42
**Rose Balcony Bra by TOPSHOP BRIDE,IVORY,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32D",US TOPSHOP,Topshop US,"Perfect your bridal intimates in this pretty ivory balcony bra with luxy lace trim detail. 96% Polyester, 4% Elastane. Machine wash.",**Rose Balcony Bra by TOPSHOP BRIDE,NULL,NULL,26-04-20 19:42
Broderie Lace Balcony Bra,IVORY,Lingerie,35,"32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,32DD,34DD","32A,32B,32C,32D,34A,34B,34C,34D,36A,36B",US TOPSHOP,Topshop US,"Lightly padded balcony bra with underwired cups for a smooth shape and added support. 90% Polyamide,10% Elastane. Machine wash.",Broderie Lace Balcony Bra,NULL,NULL,26-04-20 19:42
Applique Jersey Triangle Bra,BLACK,Lingerie,35,"2,4,6,8,10,12,14","2,4,6,8,10,12",US TOPSHOP,Topshop US,"Non-padded triangle bra with non-wired cups for a barely there, natural shape. 95% Viscose, 5% Elastane. Machine wash.",Applique Jersey Triangle Bra,NULL,NULL,26-04-20 19:42
Lace Balcony Bra,IVORY,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,36A,36B,36C","32B,32C,32D,34A,34C,34D,36C",US TOPSHOP,Topshop US,"Add a touch of lace to your lingerie collection with this pretty ivory lace bra with balcony cups for extra support. 89% Nylon,11% Elastane. Machine wash.",Lace Balcony Bra,NULL,NULL,26-04-20 19:42
Laura Mini Knickers by Bluebella,BLACK,Lingerie,26,"4,6,8,10,12","4,6,8,10,12",US TOPSHOP,Topshop US,"Black mesh and satin mini knickers by Bluebella with gold metal detail. 90% Polyamide, 10% Elastane. Machine wash.",Laura Mini Knickers by Bluebella,NULL,NULL,26-04-20 19:42
