product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
PINK NEW! Wear Everywhere Push-Up Bra,ensign tropical exploded pink,Wear Everywhere Push-Up Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",36B,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
PINK NEW! Wear Everywhere Push-Up Bra,midnight tropical,Wear Everywhere Push-Up Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",36C,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
PINK NEW! Wear Everywhere Push-Up Bra,midnight tropical,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
PINK NEW! Wear Everywhere Push-Up Bra,ensign tropical exploded pink,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
Easy Push-Up Bra,Black Lace,Easy Push-Up Bra,39.5,"32A, 32B, 32C, 32D, 32DD, 34A, 34B, 34C, 34D, 34DD, 36A, 36B, 36C, 36D, 36DD, 38A, 38B, 38C, 38D, 38DD",38B,Victoria's Secret,Victoriassecret US,"Like magic: the lift you love without the wires, in an unbelievably soft and sleek shape. Â  Lift & Lining Push-up padding Wireless cups Straps & Hooks Adjustable straps Pullover style Details & Fabric Racerback Long line Supersoft, lined sides for the smoothest shape Imported nylon/spandex",Easy Push-Up Bra,NULL,NULL,26-04-20 19:57
Body by Victoria NEW! Strapless Balconet Bra,ensign with faded denim cross dye,Strapless Balconet Bra,44.5,"32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38A, 38B, 38C, 38D, 38DD, 38DDD, 40A, 40B, 40C, 40D, 40DD, 40DDD",38C,Victoria's Secret,Victoriassecret US,"This soft, sexy shape is all about options, with straps when you need them.Â  Lift & Lining â€¢ Lightly lined for shape â€¢ Underwire cups Straps & Hooks â€¢ Adjustable, removable straps â€¢ Back closure â€¢ Triple row of hook-and-eye closures Details & Fabric â€¢ Imported nylon/spandex",Body by Victoria NEW! Strapless Balconet Bra,NULL,NULL,26-04-20 19:57
Body by Victoria NEW! Strapless Balconet Bra,bronze brown with almost nude cross dye,Strapless Balconet Bra,44.5,"32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38A, 38B, 38C, 38D, 38DD, 38DDD, 40A, 40B, 40C, 40D, 40DD, 40DDD",40C,Victoria's Secret,Victoriassecret US,"This soft, sexy shape is all about options, with straps when you need them.Â  Lift & Lining â€¢ Lightly lined for shape â€¢ Underwire cups Straps & Hooks â€¢ Adjustable, removable straps â€¢ Back closure â€¢ Triple row of hook-and-eye closures Details & Fabric â€¢ Imported nylon/spandex",Body by Victoria NEW! Strapless Balconet Bra,NULL,NULL,26-04-20 19:57
Body by Victoria NEW! Strapless Balconet Bra,peach melba with lip smacker crossdye,Strapless Balconet Bra,44.5,"32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38A, 38B, 38C, 38D, 38DD, 38DDD, 40A, 40B, 40C, 40D, 40DD, 40DDD",38C,Victoria's Secret,Victoriassecret US,"This soft, sexy shape is all about options, with straps when you need them.Â  Lift & Lining â€¢ Lightly lined for shape â€¢ Underwire cups Straps & Hooks â€¢ Adjustable, removable straps â€¢ Back closure â€¢ Triple row of hook-and-eye closures Details & Fabric â€¢ Imported nylon/spandex",Body by Victoria NEW! Strapless Balconet Bra,NULL,NULL,26-04-20 19:57
Body by Victoria NEW! Strapless Balconet Bra,coconut white with champagne cross dye,Strapless Balconet Bra,44.5,"32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38A, 38B, 38C, 38D, 38DD, 38DDD, 40A, 40B, 40C, 40D, 40DD, 40DDD",38C,Victoria's Secret,Victoriassecret US,"This soft, sexy shape is all about options, with straps when you need them.Â  Lift & Lining â€¢ Lightly lined for shape â€¢ Underwire cups Straps & Hooks â€¢ Adjustable, removable straps â€¢ Back closure â€¢ Triple row of hook-and-eye closures Details & Fabric â€¢ Imported nylon/spandex",Body by Victoria NEW! Strapless Balconet Bra,NULL,NULL,26-04-20 19:57
Body by Victoria NEW! Strapless Balconet Bra,ensign with faded denim cross dye,Strapless Balconet Bra,46.5,"32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38A, 38B, 38C, 38D, 38DD, 38DDD, 40A, 40B, 40C, 40D, 40DD, 40DDD",40D3,Victoria's Secret,Victoriassecret US,"This soft, sexy shape is all about options, with straps when you need them.Â  Lift & Lining â€¢ Lightly lined for shape â€¢ Underwire cups Straps & Hooks â€¢ Adjustable, removable straps â€¢ Back closure â€¢ Triple row of hook-and-eye closures Details & Fabric â€¢ Imported nylon/spandex",Body by Victoria NEW! Strapless Balconet Bra,NULL,NULL,26-04-20 19:57
